    0.00000000  21135.36000000  -2819.63916190  18315.72083810     27.57385519     22.05908122
    0.05000000  16620.33451455   1695.36848217  18315.70299672     21.68341098     22.02813888
    0.10000000  16562.21707561   1753.48890656  18315.70598217     21.60758914     22.04052597
    0.15000000  16314.28184228   2001.42802475  18315.70986703     21.28412504     22.01512549
    0.20000000  16468.80960532   1846.89871935  18315.70832467     21.48572682     22.02792903
    0.25000000  15856.07142052   2459.64614524  18315.71756576     20.68632932     22.01057838
    0.30000000  16546.12376282   1769.58201361  18315.70577643     21.58659330     22.01645757
    0.35000000  16070.31882672   2245.38684180  18315.70566852     20.96584322     22.01710921
    0.40000000  15996.95094933   2318.75771705  18315.70866639     20.87012518     22.02998595
    0.45000000  16315.21862399   2000.48164496  18315.70026895     21.28534719     22.02949374
    0.50000000  16475.45589304   1840.24666200  18315.70255505     21.49439777     22.02303790
    0.55000000  16022.57351148   2293.12466019  18315.69817167     20.90355318     22.03513067
    0.60000000  16317.95020575   1997.74427352  18315.69447927     21.28891090     22.02222516
    0.65000000  16155.64290457   2160.06619463  18315.70909921     21.07715969     22.01269165
    0.70000000  16075.07314296   2240.63595366  18315.70909662     20.97204585     22.02574615
    0.75000000  15713.08968990   2602.61405311  18315.70374301     20.49979085     22.02972115
    0.80000000  15839.96840869   2475.74470747  18315.71311616     20.66532082     21.99645489
    0.85000000  16023.08974844   2292.61275121  18315.70249965     20.90422668     22.00146107
    0.90000000  16057.63985080   2258.06719318  18315.70704398     20.94930183     22.01874236
    0.95000000  16391.82104642   1923.88353140  18315.70457782     21.38528512     22.02619526
    1.00000000  15966.64645132   2349.05554797  18315.70199929     20.83058898     22.01040108
    1.05000000  16526.72008534   1788.98591435  18315.70599968     21.56127865     22.02374668
    1.10000000  16596.00489587   1719.70150939  18315.70640526     21.65166979     22.03329458
    1.15000000  16091.74231644   2223.96336429  18315.70568073     20.99379298     22.03236633
    1.20000000  16857.02689595   1458.67739245  18315.70428839     21.99220730     22.01297459
    1.25000000  16302.12886051   2013.57398766  18315.70284817     21.26826988     22.01951847
    1.30000000  16052.55458112   2263.14823371  18315.70281484     20.94266742     22.01650019
    1.35000000  16056.42607977   2259.27711454  18315.70319432     20.94771830     22.01994690
    1.40000000  16284.86449866   2030.84003494  18315.70453360     21.24574625     22.02158246
    1.45000000  16148.17774970   2167.52035744  18315.69810714     21.06742042     22.02794050
    1.50000000  16560.89631451   1754.80942776  18315.70574228     21.60586603     22.00463648
    1.55000000  16252.05910827   2063.65429086  18315.71339913     21.20294730     22.01117536
    1.60000000  16093.85783801   2221.85016129  18315.70799930     20.99655295     22.02562075
    1.65000000  17286.32803164   1029.37417946  18315.70221110     22.55228706     22.04167275
    1.70000000  16263.00360310   2052.70543352  18315.70903662     21.21722584     22.00003200
    1.75000000  16149.90109424   2165.80915746  18315.71025170     21.06966875     22.00340489
    1.80000000  16047.04015761   2268.66023309  18315.70039070     20.93547313     22.03229702
    1.85000000  16505.85163668   1809.85706152  18315.70869820     21.53405302     22.00897909
    1.90000000  16453.81223419   1861.88733624  18315.69957042     21.46616078     21.99979741
    1.95000000  16174.32791876   2141.37477078  18315.70268955     21.10153675     22.03579705
    2.00000000  16585.53463610   1730.16596425  18315.70060035     21.63800996     22.02665628
    2.05000000  16362.21925379   1953.48615324  18315.70540703     21.34666569     22.02703376
    2.10000000  16769.50344193   1546.20276336  18315.70620529     21.87802145     22.01574528
    2.15000000  16010.89303131   2304.81450803  18315.70753934     20.88831446     22.00101248
    2.20000000  16169.61288337   2146.09736398  18315.71024735     21.09538537     22.01217052
    2.25000000  16518.04155319   1797.65539055  18315.69694374     21.54995636     22.00786655
    2.30000000  16475.38400382   1840.31170396  18315.69570779     21.49430398     22.00030757
    2.35000000  16029.38372849   2286.32369424  18315.70742273     20.91243800     22.01885642
    2.40000000  16652.43185808   1663.26704526  18315.69890333     21.72528618     22.00919356
    2.45000000  17037.54602436   1278.15701796  18315.70304231     22.22771823     22.00662528
    2.50000000  16201.17110685   2114.52817460  18315.69928145     21.13655722     22.01705442
    2.55000000  16428.00442714   1887.71073257  18315.71515971     21.43249110     22.02070615
    2.60000000  16596.98267989   1718.71516022  18315.69784011     21.65294544     22.01288888
    2.65000000  16386.94732676   1928.77589860  18315.72322537     21.37892671     22.05019141
    2.70000000  16190.95837650   2124.75936614  18315.71774264     21.12323337     21.99974166
    2.75000000  16505.13954379   1810.56405785  18315.70360164     21.53312400     22.03156155
    2.80000000  16401.64739708   1914.05956137  18315.70695845     21.39810489     21.99690083
    2.85000000  16395.28058362   1920.41788437  18315.69846799     21.38979854     22.02333147
    2.90000000  16144.79848853   2170.91125327  18315.70974180     21.06301173     22.02797280
    2.95000000  15934.57508581   2381.12449553  18315.69958134     20.78874767     22.02126139
    3.00000000  16818.57851390   1497.12344076  18315.70195466     21.94204633     22.02491001
    3.05000000  15887.77645355   2427.93065430  18315.70710784     20.72769270     21.99049117
    3.10000000  16240.20595479   2075.49419102  18315.70014580     21.18748331     22.03369739
    3.15000000  16382.94487364   1932.76446843  18315.70934206     21.37370499     22.00953755
    3.20000000  16253.84389985   2061.85450740  18315.69840725     21.20527580     22.00744041
    3.25000000  16076.55519245   2239.14662464  18315.70181709     20.97397938     22.00672066
    3.30000000  16179.45623542   2136.24360343  18315.69983884     21.10822731     22.02257863
    3.35000000  16696.12484679   1619.57658616  18315.70143295     21.78228943     22.00437058
    3.40000000  16201.36394203   2114.34761446  18315.71155649     21.13680880     22.01336147
